point_x,point_y,avg_year,agbref,nico_mean,nico_median,nico_p90,cci_mean,cci_median,cci_p90,nico_cov,cci_cov,common_cov,nico_mean_common,cci_mean_common
-47.6500,-14.0500,2018,25.6757,23.0913,8.7257,70.3086,20.7140,0.0000,105.0000,1.0000,1.0000,1.0000,23.0124,20.4039
-47.5500,-13.9500,2018,22.4462,23.8059,16.4118,52.7345,26.5943,0.0000,96.0000,1.0000,1.0000,1.0000,23.7422,26.6620
9.8500,-1.9500,2017,268.0428,243.1559,253.6770,296.7474,363.4608,370.0000,494.0000,1.0000,1.0000,1.0000,243.1561,363.6727
10.5500,-0.8500,2017,309.2470,218.2018,242.5975,297.0614,344.6502,374.0000,493.0000,1.0000,1.0000,1.0000,218.1570,343.9158
10.6500,-0.8500,2017,332.4864,265.0616,270.1525,307.3177,376.8216,383.0000,483.0000,1.0000,1.0000,1.0000,265.0634,376.7417
10.4500,-0.7500,2017,249.8389,225.7715,250.5986,299.7026,356.5548,376.0000,494.0000,1.0000,1.0000,1.0000,225.7895,356.4111
10.5500,-0.7500,2017,294.8871,260.3903,266.7296,305.1753,388.0533,393.0000,498.0000,1.0000,1.0000,1.0000,260.3958,388.3474
10.6500,-0.7500,2017,313.8216,266.5393,277.2337,318.1948,387.0019,398.0000,511.0000,1.0000,1.0000,1.0000,266.5896,387.0077
-60.9500,0.2500,2018,145.2221,103.6399,99.1951,161.7898,159.1994,167.0000,191.0000,1.0000,1.0000,1.0000,103.6514,159.2010
-61.0500,1.0500,2018,173.6428,73.8236,74.3740,151.5324,104.7784,151.0000,181.0000,1.0000,1.0000,1.0000,73.8221,105.0400
12.7500,3.1500,2017,314.6718,222.6639,227.1748,289.6487,388.2047,392.0000,479.0000,1.0000,1.0000,1.0000,222.6795,388.2427
12.8500,3.1500,2017,280.9402,232.6914,239.3607,296.3888,383.4351,386.0000,478.0000,1.0000,1.0000,1.0000,232.6799,383.5566
12.8500,3.2500,2017,262.0237,220.1199,223.7943,287.9365,400.4486,404.0000,497.0000,1.0000,1.0000,1.0000,220.1155,400.4186
12.7500,3.3500,2017,334.4038,215.2600,223.0104,287.6866,386.8325,396.0000,495.0000,1.0000,1.0000,1.0000,215.2922,386.6935
11.4500,3.4500,2017,278.7606,157.7581,162.7682,262.5168,285.5293,293.0000,417.0000,1.0000,1.0000,1.0000,157.6953,285.7525
12.8500,3.5500,2017,322.3747,219.6483,230.0173,293.3879,366.6017,375.0000,492.0000,1.0000,1.0000,1.0000,219.6736,366.2195
