tile,date,prod,err,nodata,cloud,shadow,snow,clear
10SDH,20190222,S2A_MSIL2A_20190222T190401_N9999_R013_T10SDH_20240413T220442.SAFE,,0.0,0.009320705638003855,9.323127660492168e-05,0.0003203705362623216,0.9743677360061844
10SDH,20190222,S2A_MSIL2A_20190222T190401_N9999_R013_T10SDH_20240413T220442.zip,no_SCL,,,,,
10SDH,20200303,S2B_MSIL2A_20200303T190259_N0500_R013_T10SDH_20230417T055205.zip,,0.0,8.715963118901398e-05,1.1944220490310251e-06,0.0005043447102033503,0.9988662612267378
10SDH,20200402,S2B_MSIL2A_20200402T185919_N9999_R013_T10SDH_20240506T135419.zip,no_SCL,,,,,
10SDH,20200706,S2A_MSIL2A_20200706T185921_N0500_R013_T10SDH_20230413T064704.zip,,0.0,0.0005944240397344402,1.831447141847572e-05,1.9243466345499848e-06,0.9991225974698159
10SDH,20200815,S2A_MSIL2A_20200815T185921_N0500_R013_T10SDH_20230420T073657.zip,,0.16696358008102163,1.0915690392533535e-05,0.0,7.299245855189598e-06,0.8325448157106313
10SDH,20201014,S2A_MSIL2A_20201014T190351_N0500_R013_T10SDH_20230407T185508.zip,,0.0,2.5613717273665315e-05,2.090238585804294e-06,0.0001914724901377235,0.9990175215078915
10SDH,20201123,S2A_MSIL2A_20201123T190721_N9999_R013_T10SDH_20240506T164626.zip,no_SCL,,,,,
10SEF,20200603,S2A_MSIL2A_20200603T184921_N0500_R113_T10SEF_20230327T005340.zip,,0.0,0.0002664556521046712,4.744509805873238e-06,5.640326342646507e-06,0.9996488730959752
10SEF,20201016,S2B_MSIL2A_20201016T185359_N0500_R113_T10SEF_20230325T032847.zip,,0.29517735508508597,0.0066032959412875205,0.0,4.9966655717797885e-05,0.69729665794075
10SEF,20201115,S2B_MSIL2A_20201115T185649_N0500_R113_T10SEF_20230303T144837.zip,,0.0,1.4067637466365407e-05,3.317839025086181e-08,0.00042129919940544325,0.9954189269445025
10SEG,20200105,S2A_MSIL2A_20200105T185751_N0500_R113_T10SEG_20230421T095334.zip,,0.0,7.773696835776922e-05,5.773039903649955e-06,0.0013095842415917665,0.9732101419703318
10SDJ,20200207,S2A_MSIL2A_20200207T190541_N0500_R013_T10SDJ_20230429T230604.zip,,0.3873377327878806,2.5547360493163593e-06,0.0,0.0018683083334162793,0.5931447473631475
10SDJ,20200303,S2B_MSIL2A_20200303T190259_N0500_R013_T10SDJ_20230417T055205.zip,,0.0,0.0001938945126260364,1.1977398880561113e-05,0.0014411697373266845,0.9968441046977283
10SDJ,20201014,S2A_MSIL2A_20201014T190351_N0500_R013_T10SDJ_20230407T185508.zip,,0.0,9.880524616706647e-05,5.474434391392199e-06,0.00023550021400061712,0.9978353091064728
10SEF,20200424,S2A_MSIL2A_20200424T184921_N0500_R113_T10SEF_20230518T144248.zip,,0.0,0.00014571948998178506,3.1453113957817e-05,0.0003424341657791447,0.9993947598050438
10SEH,20201016,S2B_MSIL2A_20201016T185359_N0500_R113_T10SEH_20230309T075410.zip,,0.0,1.8579898540482612e-05,1.413399424686713e-05,4.449222132640568e-05,0.9995069691208722
10SEH,20201021,S2A_MSIL2A_20201021T185431_N0500_R113_T10SEH_20230326T212551.zip,,0.0,3.520227205616438e-05,0.0,0.00011565986841450426,0.9989372629818747
10SEH,20201031,S2A_MSIL2A_20201031T185531_N0500_R113_T10SEH_20230411T185712.zip,,0.0,1.556066502765419e-05,0.00013068967919814466,1.194422049031025e-05,0.9970070437722502
10SEJ,20200224,S2A_MSIL2A_20200224T185351_N0500_R113_T10SEJ_20230428T204511.zip,,0.004163655727751401,1.632376800342401e-05,0.0,0.0025086180868676613,0.9901078961250958
10SEG,20200219,S2B_MSIL2A_20200219T185419_N0500_R113_T10SEG_20230427T094124.zip,,0.0,0.002058088725651209,8.792273416478379e-06,0.00016665505423007885,0.9960030988616494
10SEG,20200906,S2B_MSIL2A_20200906T184919_N0500_R113_T10SEG_20230414T221228.zip,,0.0,3.9614997959529e-05,0.0,1.3968102295612821e-05,0.9886605220287922
10SEG,20201011,S2A_MSIL2A_20201011T185321_N0500_R113_T10SEG_20230324T165749.zip,,0.0,6.496328811118742e-05,0.0,0.00023692688478140416,0.9993504666540589
10SEH,20200224,S2A_MSIL2A_20200224T185351_N0500_R113_T10SEH_20230428T204511.zip,,6.635678050172362e-08,2.9296518591510977e-05,9.654911563000787e-06,0.00036396694105195405,0.99760216455818
10SEJ,20200718,S2B_MSIL2A_20200718T184919_N0500_R113_T10SEJ_20230324T152351.zip,,0.004858942073848461,2.3224873175603266e-07,0.0,0.0,0.9948074160337889
10SEJ,20200815,S2A_MSIL2A_20200815T185921_N0500_R013_T10SEJ_20230420T073657.zip,,0.3045334288870973,2.090238585804294e-06,0.0,0.0,0.6943936815073606
10SEJ,20201105,S2B_MSIL2A_20201105T185559_N0500_R113_T10SEJ_20230301T110859.zip,,0.0030318081227335013,6.469786098918053e-06,0.0,0.0,0.9866295068695857
10SEJ,20201130,S2A_MSIL2A_20201130T185741_N0500_R113_T10SEJ_20230305T060707.zip,,0.002232076204126728,2.1897737565568795e-05,2.3423943517108436e-05,0.0002923679748905943,0.947997750505141
10SFF,20190813,S2B_MSIL2A_20190813T184929_N0500_R113_T10SFF_20230724T024035.zip,,0.00045457712482705766,2.219634307782655e-05,0.0,2.3556657078111886e-06,0.9991281050825976
10SFF,20200224,S2A_MSIL2A_20200224T185351_N0500_R113_T10SFF_20230422T222449.zip,,0.0078102926002236225,0.00045786178546189295,0.0,0.0001969469245291157,0.9851959681620167
10SFF,20200424,S2A_MSIL2A_20200424T184921_N0500_R113_T10SFF_20230518T144248.zip,,8.845358840879759e-05,0.00022936221180420768,1.0285300977767161e-05,0.00021572589341110348,0.9989422397404123
10SFF,20201011,S2A_MSIL2A_20201011T185321_N0500_R113_T10SFF_20230324T165749.zip,,0.00018832054306389164,3.201714659208164e-05,0.0,9.545422875172943e-05,0.9989747213844679
10SFE,20201001,S2A_MSIL2A_20201001T185221_N0500_R113_T10SFE_20230307T012928.zip,,0.10511196047790153,1.0716620051028365e-05,0.0,5.484387908467457e-05,0.8696200078964569
10SFE,20201028,S2A_MSIL2A_20201028T184511_N0500_R070_T10SFE_20230308T153415.zip,,0.21597191117481362,9.986695465509404e-06,1.6589195125430904e-06,5.474434391392199e-06,0.7815545071184237
10SFE,20201110,S2A_MSIL2A_20201110T185621_N0500_R113_T10SFE_20230303T102330.zip,,0.10830999233579185,5.0762937083818565e-06,0.0,2.730581517645927e-05,0.884369925779941
10SFE,20201115,S2B_MSIL2A_20201115T185649_N0500_R113_T10SFE_20230303T144837.zip,,0.1003696072673946,9.389484440993892e-06,0.00023201648302427662,0.00011310513236518791,0.8901884200782346
10SFF,20201016,S2B_MSIL2A_20201016T185359_N0500_R113_T10SFF_20230325T032847.zip,,0.5209436265971248,0.0004505293612164525,0.0,9.15723570923786e-06,0.47738043337613345
10SFG,20200224,S2A_MSIL2A_20200224T185351_N0500_R113_T10SFG_20230422T222449.zip,,0.84188466527981,4.313190732612035e-06,0.0,0.0,0.1579914134326031
10SFG,20201016,S2B_MSIL2A_20201016T185359_N0500_R113_T10SFG_20230309T075410.zip,,0.0,5.673504732897369e-06,1.3603140002853342e-06,0.0,0.9998097219319113
10SFG,20201021,S2A_MSIL2A_20201021T185431_N0500_R113_T10SFG_20230326T212551.zip,,0.0,6.867926781928394e-06,7.232889074687874e-06,0.0,0.999625449152458
10SFG,20201115,S2B_MSIL2A_20201115T185649_N0500_R113_T10SFG_20230303T144837.zip,,0.0,1.7485011662204174e-05,1.6589195125430904e-06,6.96746195268098e-07,0.9922570263535954
10SFH,20201011,S2A_MSIL2A_20201011T185321_N0500_R113_T10SFH_20230324T165749.zip,,0.0,5.905753464653402e-06,6.834748391677532e-06,0.0,0.9991190805604494
10SFH,20201031,S2A_MSIL2A_20201031T185531_N0500_R113_T10SFH_20230411T185712.zip,,0.0,7.398781025942183e-06,2.1565953663060175e-06,5.30854244013789e-07,0.9969361083738939
10SFH,20201115,S2B_MSIL2A_20201115T185649_N0500_R113_T10SFH_20230303T144837.zip,,0.0,1.211011244156456e-05,0.0,4.21365556185945e-06,0.9941017116731531
10SFE,20190912,S2B_MSIL2A_20190912T184949_N0500_R113_T10SFE_20230501T122229.zip,,0.10001194422049031,1.7584546832956757e-05,6.635678050172362e-08,2.0636958736036047e-05,0.8992764456654092
10SFE,20200424,S2A_MSIL2A_20200424T184921_N0500_R113_T10SFE_20230518T144248.zip,,0.10418684742253675,7.309199372264857e-05,2.6542712200689446e-06,0.00019532118340682346,0.8951558554882034
10SFE,20200814,S2B_MSIL2A_20200814T183919_N0500_R070_T10SFE_20230419T172105.zip,,0.22884151014761067,9.688089953251647e-06,0.0,1.1280652685293014e-06,0.770991403479086
10SFE,20200926,S2B_MSIL2A_20200926T185049_N0500_R113_T10SFE_20230417T051134.zip,,0.9803030514165514,2.654271220068945e-07,3.317839025086181e-08,0.0,0.01956914542420231
10SFH,20201210,S2A_MSIL2A_20201210T185801_N0500_R113_T10SFH_20230302T053408.zip,,0.0,2.0636958736036047e-05,0.0,2.621092829818083e-06,0.9863945043314388
10SFJ,20200827,S2B_MSIL2A_20200827T184919_N0500_R113_T10SFJ_20230316T164903.zip,,0.0,2.3888440980620502e-06,0.0,5.142650488883581e-06,0.9956443741062571
10SFJ,20200901,S2A_MSIL2A_20200901T184921_N0500_R113_T10SFJ_20230312T142840.zip,,0.0,3.11876868358101e-06,0.0,4.147298781357726e-06,0.9953254965975561
10SFJ,20201011,S2A_MSIL2A_20201011T185321_N0500_R113_T10SFJ_20230324T165749.zip,,0.0,1.1612436587801633e-05,1.0683441660777503e-05,3.516909366591352e-06,0.9925940856201538
10SGE,20200814,S2B_MSIL2A_20200814T183919_N0500_R070_T10SGE_20230419T172105.zip,,0.0,1.924346634549985e-05,2.0404710004280012e-05,0.0,0.9997810226243443
10SGE,20200903,S2B_MSIL2A_20200903T183919_N0500_R070_T10SGE_20230313T031213.zip,,0.0,0.0001237222172454637,0.0,3.317839025086181e-07,0.9984269461614261
10SGF,20200725,S2B_MSIL2A_20200725T183919_N0500_R070_T10SGF_20230422T204433.zip,,0.0,4.1008490350065197e-05,0.0,0.0,0.9993010640309753
10SGF,20200804,S2B_MSIL2A_20200804T183919_N0500_R070_T10SGF_20230321T050221.zip,,0.0,6.293940630588485e-05,3.351017415337043e-06,0.0,0.9994684821881812
10SGF,20200829,S2A_MSIL2A_20200829T183921_N0500_R070_T10SGF_20230407T034717.zip,,0.0,2.2893089273094646e-05,0.0,9.953517075258543e-08,0.9995536842943454
10SGF,20201018,S2A_MSIL2A_20201018T184411_N0500_R070_T10SGF_20230405T201440.zip,,0.0,8.360954343217175e-06,0.0,1.393492390536196e-06,0.9998873261867081
10SGG,20200705,S2B_MSIL2A_20200705T183919_N0500_R070_T10SGG_20230322T052651.zip,,0.0,0.0007661222092826501,3.915050049601694e-06,3.460506103164887e-05,0.9980200132049993
10SGG,20200730,S2A_MSIL2A_20200730T183921_N0500_R070_T10SGG_20230430T130316.zip,,0.0,6.745166738000205e-05,0.0,2.455200878563774e-06,0.9987423067607606
10SGH,20201013,S2B_MSIL2A_20201013T184329_N0500_R070_T10SGH_20230404T195122.zip,,3.317839025086181e-08,4.744509805873238e-06,0.0,1.1844685319557666e-05,0.9833128622665486
10SGH,20201018,S2A_MSIL2A_20201018T184411_N0500_R070_T10SGH_20230405T201440.zip,,0.0,7.16653229418615e-06,0.0,8.195062391962867e-06,0.9778662645445768
10TCK,20191025,S2B_MSIL2A_20191025T190449_N0500_R013_T10TCK_20230615T124530.zip,,0.029277441017116733,1.6589195125430904e-06,0.0,3.158582751882044e-05,0.9661330254378718
10TCK,20200601,S2B_MSIL2A_20200601T185919_N0500_R013_T10TCK_20230402T235615.zip,,0.0284158314006921,0.009278303655263253,0.00016177783086320218,4.990029893729616e-05,0.9616912020862571
10SFJ,20201105,S2B_MSIL2A_20201105T185559_N0500_R113_T10SFJ_20230301T110859.zip,,0.0,7.53149458694563e-06,0.0,1.3271356100344723e-06,0.9698343734758677
10SGE,20190102,S2B_MSIL2A_20190102T184759_N0500_R070_T10SGE_20221216T104323.zip,,0.0,5.796264776825558e-05,0.0,0.0005138669082053477,0.9736368492473482
10SGE,20200201,S2A_MSIL2A_20200201T184611_N0500_R070_T10SGE_20230511T175803.zip,,0.0,2.607821473717738e-05,0.0,0.0009323127660492168,0.9877487798646986
10SGE,20200610,S2A_MSIL2A_20200610T183921_N0500_R070_T10SGE_20230610T194036.zip,,0.0,0.00012455167700173522,4.329779927737466e-05,0.0,0.9997043805428648
10TCK,20200701,S2B_MSIL2A_20200701T185919_N0500_R013_T10TCK_20230318T102719.zip,,0.030904973772482507,0.003900020238818053,0.0001235231469039585,0.00023934890726971708,0.9645685316239827
10TCK,20200815,S2A_MSIL2A_20200815T185921_N0500_R013_T10TCK_20230420T073657.zip,,0.0252050258625552,1.2640966685578349e-05,0.0,2.5348290151658422e-05,0.974409872561803
10TCK,20201014,S2A_MSIL2A_20201014T190351_N0500_R013_T10TCK_20230407T185508.zip,,0.024883029585170587,0.024504596865969258,0.0008246157112949193,0.0002797270082050159,0.9480895551109652
10TCK,20201223,S2A_MSIL2A_20201223T190811_N0500_R013_T10TCK_20230301T020157.zip,,0.026699446916234517,0.0017505250480257199,3.636351571494454e-05,0.0002604171850790143,0.9475090328167458
10SGG,20200903,S2B_MSIL2A_20200903T183919_N0500_R070_T10SGG_20230313T031213.zip,,0.0,1.0418014538770608e-05,0.0,8.294597562715452e-07,0.9937121310148275
10SGG,20201028,S2A_MSIL2A_20201028T184511_N0500_R070_T10SGG_20230308T153415.zip,,0.0,0.00021446511458157074,6.635678050172362e-08,0.0,0.9869660021035099
10SGH,20200804,S2B_MSIL2A_20200804T183919_N0500_R070_T10SGH_20230321T050221.zip,,0.0,3.5500877568422135e-06,0.0,0.00029883776098951233,0.9952417875189532
10SGH,20200923,S2B_MSIL2A_20200923T184019_N0500_R070_T10SGH_20230313T021251.zip,,0.0,2.8533415615741157e-06,0.0,2.143324010205673e-05,0.9603953536982293
10TCM,20200704,S2B_MSIL2A_20200704T190919_N0500_R056_T10TCM_20230321T175116.zip,,0.0,0.0002626069588355712,6.635678050172362e-08,8.311186757840882e-05,0.9993260473588342
10TCM,20200927,S2A_MSIL2A_20200927T191151_N0500_R056_T10TCM_20230314T134636.zip,,0.0,3.331110381186526e-05,0.0,0.0003164223078224691,0.9990712373217077
10TCM,20201027,S2A_MSIL2A_20201027T191521_N0500_R056_T10TCM_20230325T225126.zip,,0.0,1.3835388734609375e-05,0.0,0.00019953483896868293,0.9947377745926523
10TCM,20201126,S2A_MSIL2A_20201126T191741_N0500_R056_T10TCM_20230304T111606.zip,,0.0,4.130709586232295e-05,1.960842863825933e-05,0.002592028559958328,0.979875017003925
